book,poem,token_count
1869. (I. ),002 - Dvadsiaty rok.txt,3739
1869. (II.),"061 - Ospievané je už, už všetko.txt",1043
1916 - 1920,001 - V jesennú polnoc.txt,3552
1916 - 1920,002 - Hymna.txt,1911
Agar,001 - Agar.txt,22531
Azyl,001 - Azyl.txt,1830
Básne príležitostné,002 - Púť živeny.txt,4449
Básne príležitostné,003 - 24. novembra 1910.txt,1296
Básne príležitostné,004 - Michal Miloslav Hodža.txt,2076
Básne príležitostné,005 - Na storočnú pamiatku.txt,1839
Básne príležitostné,009 - Kantáta.txt,1945
Básne príležitostné,010 - Prívet.txt,4231
Básne príležitostné,011 - Pri hrobe Pavla Mudroňa.txt,1333
Básne príležitostné,012 - Nad knihou Vrchlického.txt,1414
Básne príležitostné,013 - Pri hrobe Svetozára Hurbana-Vajanského.txt,1108
Básne príležitostné,014 - Storočná pamiatka narodenia Andreja Radlinského v Dolnom Kubíne.txt,1131
Básne príležitostné,017 - Mládeži československej.txt,2443
Básne príležitostné,018 - Národe drahý.txt,1332
Básne príležitostné,019 - Poslanie verejnosti československej.txt,1478
Básne príležitostné,020 - K znovutovoreniu Matice slovenskej.txt,2810
Básne príležitostné,021 - Predslov k otvoreniu Gymnázia v Dolnom Kubíne.txt,2317
Básne príležitostné,026 - Mladé Slovensko.txt,1448
Básne príležitostné,028 - Na pamäť.txt,2763
Básnické prviesenky Jozefa Zbranského,003 - Ja som Slovák.txt,1093
Básnické prviesenky Jozefa Zbranského,006 - Na Všechsvätých.txt,1254
Básnické prviesenky Jozefa Zbranského,020 - Kostol.txt,1304
Básnické prviesenky Jozefa Zbranského,028 - K tej slovenskej mládeži.txt,1061
Básnické prviesenky Jozefa Zbranského,038 - Roztomil.txt,2827
Bútora a Čútora,001 - Bútora a Čútora.txt,9378
Dozvuky I,008 - Na skalisku stred hlbokých lesov.txt,1683
Dozvuky I,015 - Nové zvuky počujem.txt,1486
Dozvuky I,021 - Maliarka prišla k nám z ďalekých končín.txt,1556
Dozvuky I,032 - Spí matka zem.txt,1789
Dozvuky II,004 - Chyžnianskemu.txt,3545
Dozvuky II,010 - Zawilińskému.txt,1472
Dozvuky II,014 - Je Obrátenie Pavla.txt,5297
Dozvuky II,021 - Mňa vzal si národ za predmet.txt,1178
Dozvuky II,024 - Hluk odšumel - v dym blýskavica hravá....txt,1250
Dozvuky II,027 - Nie zvláštnosť? mne svet vyhýba.txt,1234
Dozvuky II,029 - Prejdite trebárs celú prírodu.txt,1290
Dozvuky II,044 - Dve obce schodím zavše prechádzkou.txt,2209
Dozvuky III,006 - Rád oblaky v ich ceste odprevádzam.txt,2428
Dozvuky III,007 - O modrom vtáku vám včuľ zaspievam.txt,2293
Ežo Vlkolinský,001 - Ežo Vlkolinský.txt,53194
Gábor Vlkolinský,001 - Gábor Vlkolinský.txt,78324
Hájnikova žena,002 - I.txt,4092
Hájnikova žena,003 - II.txt,6548
Hájnikova žena,004 - III.txt,5868
Hájnikova žena,005 - IV.txt,2875
Hájnikova žena,006 - V.txt,4277
Hájnikova žena,008 - VII.txt,16193
Hájnikova žena,009 - VIII.txt,1562
Hájnikova žena,010 - Maliniarky.txt,6402
Hájnikova žena,011 - IX.txt,11149
Hájnikova žena,012 - X.txt,3717
Hájnikova žena,013 - XI.txt,3881
Hájnikova žena,015 - XIII.txt,1960
Hájnikova žena,017 - XV.txt,1239
Kain,001 - Kain.txt,16136
Kratšia epika historická a spoločenská,001 - Pribina.txt,1863
Kratšia epika historická a spoločenská,002 - Rastislav.txt,1335
Kratšia epika historická a spoločenská,003 - Ľútosť Svätopluka.txt,7879
Kratšia epika historická a spoločenská,004 - Bratranci.txt,1791
Kratšia epika historická a spoločenská,005 - Žofia Bosňáková.txt,6618
Kratšia epika historická a spoločenská,006 - Alžbeta Thurzová.txt,25180
Kratšia epika historická a spoločenská,007 - Imro Tekeľ.txt,7324
Kratšia epika historická a spoločenská,008 - Pani z Mahoču.txt,1429
Kratšia epika historická a spoločenská,009 - Jánošíkova stupaj.txt,7063
Kratšia epika historická a spoločenská,010 - Pomsta mŕtvych.txt,1897
Kratšia epika historická a spoločenská,011 - Polyxena Párnická.txt,1990
Kratšia epika historická a spoločenská,012 - Pán Boldko.txt,8684
Kratšia epika historická a spoločenská,013 - Krivoprísažník.txt,2006
Kratšia epika historická a spoločenská,014 - Jedlica.txt,1920
Kratšia epika historická a spoločenská,015 - Susedia.txt,1877
Kratšia epika historická a spoločenská,016 - Páni majstri.txt,2442
Kratšia epika historická a spoločenská,018 - Dva vŕšky.txt,1265
Kratšia epika historická a spoločenská,020 - Proťajšky.txt,1907
Kratšia epika historická a spoločenská,022 - Dve rieky.txt,1368
Kratšia epika zo života dedinského ľudu,002 - Anča.txt,2645
Kratšia epika zo života dedinského ľudu,003 - Veštba kukučky.txt,1959
Kratšia epika zo života dedinského ľudu,006 - Zuzanka Hraškovie.txt,1049
Kratšia epika zo života dedinského ľudu,007 - Margita.txt,2373
Kratšia epika zo života dedinského ľudu,008 - Studnica.txt,5010
Kratšia epika zo života dedinského ľudu,009 - Smelá Katka.txt,11719
Kratšia epika zo života dedinského ľudu,010 - Topeľci.txt,10936
Kratšia epika zo života dedinského ľudu,011 - Na Luciu.txt,22557
Kratšia epika zo života dedinského ľudu,012 - Mladá vdova.txt,19085
Kratšia epika zo života dedinského ľudu,013 - Matúš Stolár.txt,2074
Kratšia epika zo života dedinského ľudu,014 - Zuzka Majerovie.txt,1317
Kratšia epika zo života dedinského ľudu,015 - Deľba dedičstva.txt,1858
Kratšia epika zo života dedinského ľudu,016 - Jano Garazda.txt,2866
Kratšia epika zo života dedinského ľudu,017 - Šumihorka.txt,1821
Kratšia epika zo života dedinského ľudu,018 - Vrtohlávka.txt,4256
Kratšia epika zo života dedinského ľudu,020 - Potecha.txt,2248
Kratšia epika zo života dedinského ľudu,021 - Na výhone.txt,1168
Kratšia epika zo života dedinského ľudu,022 - Miško Káčer.txt,4505
Kratšia epika zo života dedinského ľudu,023 - Mlatba.txt,1501
